BSSID,Epoch,Temperature
master,1681683688,20.2646
48:27:E2:AD:85:D0,1681683689,20.0736
48:27:E2:AD:91:38,1681683689,17.0476
EC:DA:3B:0F:5C:AC,1681683689,20.4604
master,1681683689,20.2646
48:27:E2:AD:85:D0,1681683690,20.7586
48:27:E2:AD:91:38,1681683690,16.9832
EC:DA:3B:0F:5C:AC,1681683690,20.5306
master,1681683690,20.1969
48:27:E2:AD:85:D0,1681683691,20.1421
48:27:E2:AD:91:38,1681683691,16.9187
EC:DA:3B:0F:5C:AC,1681683691,20.4604
master,1681683691,20.3323
48:27:E2:AD:85:D0,1681683692,20.1421
48:27:E2:AD:91:38,1681683692,17.0476
EC:DA:3B:0F:5C:AC,1681683692,20.5306
master,1681683692,19.9262
48:27:E2:AD:85:D0,1681683693,20.1421
48:27:E2:AD:91:38,1681683693,17.0476
EC:DA:3B:0F:5C:AC,1681683693,20.3903
master,1681683693,20.4000
48:27:E2:AD:85:D0,1681683694,20.7586
48:27:E2:AD:91:38,1681683694,17.6278
EC:DA:3B:0F:5C:AC,1681683694,20.4604
master,1681683694,20.2646
48:27:E2:AD:85:D0,1681683695,20.1421
48:27:E2:AD:91:38,1681683695,17.0476
EC:DA:3B:0F:5C:AC,1681683695,20.4604
master,1681683695,20.4000
48:27:E2:AD:85:D0,1681683696,20.1421
48:27:E2:AD:91:38,1681683696,17.5634
EC:DA:3B:0F:5C:AC,1681683696,20.4604
master,1681683696,20.1969
48:27:E2:AD:85:D0,1681683697,20.0736
48:27:E2:AD:91:38,1681683697,17.6278
EC:DA:3B:0F:5C:AC,1681683697,20.3202
master,1681683697,20.2646
48:27:E2:AD:85:D0,1681683698,20.1421
48:27:E2:AD:91:38,1681683698,17.6278
EC:DA:3B:0F:5C:AC,1681683698,20.4604
master,1681683698,20.1969
48:27:E2:AD:85:D0,1681683699,20.0051
48:27:E2:AD:91:38,1681683699,17.5634
EC:DA:3B:0F:5C:AC,1681683699,20.3903
master,1681683699,20.4000
48:27:E2:AD:85:D0,1681683700,20.6901
48:27:E2:AD:91:38,1681683700,17.0476
EC:DA:3B:0F:5C:AC,1681683700,20.4604
master,1681683700,20.3323
48:27:E2:AD:85:D0,1681683701,20.6901
48:27:E2:AD:91:38,1681683701,17.0476
EC:DA:3B:0F:5C:AC,1681683701,20.3202
master,1681683701,20.1292
48:27:E2:AD:85:D0,1681683702,20.1421
48:27:E2:AD:91:38,1681683702,17.0476
EC:DA:3B:0F:5C:AC,1681683702,20.4604
master,1681683702,20.0615
48:27:E2:AD:85:D0,1681683703,20.0051
48:27:E2:AD:91:38,1681683703,17.6923
EC:DA:3B:0F:5C:AC,1681683703,20.4604
master,1681683703,20.2646
48:27:E2:AD:85:D0,1681683704,20.0736
48:27:E2:AD:91:38,1681683704,17.0476
EC:DA:3B:0F:5C:AC,1681683704,20.3903
master,1681683704,20.3323
48:27:E2:AD:85:D0,1681683705,20.1421
48:27:E2:AD:91:38,1681683705,17.6923
EC:DA:3B:0F:5C:AC,1681683705,20.4604
master,1681683705,19.3169
48:27:E2:AD:85:D0,1681683706,20.0051
48:27:E2:AD:91:38,1681683706,17.0476
EC:DA:3B:0F:5C:AC,1681683706,20.3903
master,1681683706,20.4000
48:27:E2:AD:85:D0,1681683707,20.7586
48:27:E2:AD:91:38,1681683707,17.6923
EC:DA:3B:0F:5C:AC,1681683707,20.3903
master,1681683707,20.9415
48:27:E2:AD:85:D0,1681683708,20.1421
48:27:E2:AD:91:38,1681683708,16.9832
EC:DA:3B:0F:5C:AC,1681683708,20.3903
master,1681683708,20.4000
48:27:E2:AD:85:D0,1681683709,20.1421
48:27:E2:AD:91:38,1681683709,17.0476
EC:DA:3B:0F:5C:AC,1681683709,19.4789
master,1681683709,20.2646
48:27:E2:AD:85:D0,1681683710,20.1421
48:27:E2:AD:91:38,1681683710,17.0476
EC:DA:3B:0F:5C:AC,1681683710,20.6007
master,1681683710,20.2646
48:27:E2:AD:85:D0,1681683711,20.6901
48:27:E2:AD:91:38,1681683711,17.5634
EC:DA:3B:0F:5C:AC,1681683711,20.4604
master,1681683711,20.2646
48:27:E2:AD:85:D0,1681683712,20.0736
48:27:E2:AD:91:38,1681683712,17.6278
EC:DA:3B:0F:5C:AC,1681683712,20.4604
master,1681683712,20.1969
48:27:E2:AD:85:D0,1681683713,20.8271
48:27:E2:AD:91:38,1681683713,17.7568
